iter	Passed	Remaining
0	132	26433
1	135	13459
2	138	9067
3	139	6858
4	141	5530
5	143	4646
6	146	4026
7	147	3550
8	149	3180
9	151	2883
10	153	2640
11	155	2443
12	158	2277
13	161	2141
14	163	2020
15	166	1913
16	169	1822
17	171	1733
18	174	1658
19	176	1588
20	179	1528
21	182	1477
22	185	1425
23	187	1376
24	190	1332
25	192	1290
26	195	1253
27	198	1217
28	200	1183
29	202	1149
30	205	1118
31	207	1087
32	209	1058
33	211	1030
34	213	1004
35	215	980
36	217	956
37	219	934
38	221	914
39	223	893
40	225	874
41	227	855
42	229	837
43	231	820
44	233	803
45	235	788
46	237	774
47	239	759
48	241	745
49	243	731
50	245	717
51	247	704
52	251	697
53	253	685
54	255	673
55	257	661
56	259	650
57	261	639
58	263	629
59	265	619
60	267	609
61	269	600
62	271	590
63	273	581
64	275	572
65	277	563
66	279	554
67	281	546
68	283	538
69	285	530
70	287	522
71	289	514
72	291	507
73	293	499
74	295	492
75	297	485
76	299	478
77	301	471
78	303	464
79	305	457
80	306	450
81	308	444
82	310	438
83	312	431
84	314	426
85	316	420
86	318	413
87	320	408
88	322	402
89	324	396
90	326	390
91	328	385
92	330	379
93	332	374
94	334	369
95	336	364
96	338	358
97	340	353
98	341	348
99	343	343
100	345	338
101	348	334
102	350	329
103	352	325
104	354	320
105	355	315
106	357	311
107	359	306
108	361	302
109	363	297
110	365	293
111	367	288
112	369	284
113	371	280
114	373	276
115	375	271
116	377	267
117	379	263
118	381	259
119	383	255
120	385	251
121	387	247
122	389	243
123	391	240
124	393	236
125	395	232
126	397	228
127	399	224
128	401	220
129	403	217
130	405	213
131	408	210
132	410	206
133	412	203
134	414	199
135	416	196
136	418	192
137	420	188
138	422	185
139	424	182
140	427	178
141	429	175
142	431	171
143	433	168
144	434	164
145	436	161
146	438	158
147	440	154
148	442	151
149	444	148
150	445	144
151	447	141
152	449	138
153	451	134
154	453	131
155	455	128
156	457	125
157	459	122
158	461	118
159	463	115
160	464	112
161	466	109
162	468	106
163	470	103
164	471	100
165	473	97
166	475	94
167	477	90
168	479	87
169	481	84
170	482	81
171	484	78
172	486	75
173	488	72
174	489	69
175	491	67
176	493	64
177	495	61
178	497	58
179	498	55
180	500	52
181	502	49
182	503	46
183	505	43
184	507	41
185	509	38
186	511	35
187	512	32
188	514	29
189	516	27
190	518	24
191	519	21
192	521	18
193	523	16
194	525	13
195	527	10
196	528	8
197	530	5
198	532	2
199	533	0
